id,server_id
560,37196
560,37197
560,37200
560,37201
560,37202
560,37203
560,37198
560,37199
561,37190
561,37191
561,37192
561,37193
561,37194
561,37195
593,38070
593,38156
593,38082
593,38135
593,38033
593,38174
593,38006
593,38105
593,38136
593,38097
593,38051
593,37997
593,38106
593,38026
593,38107
593,38065
593,37989
593,38084
593,38157
593,38175
593,38216
593,38213
593,38108
593,38109
593,38050
593,37994
593,38176
593,38158
593,38079
593,38064
593,37992
593,38188
593,38007
593,37990
593,38047
593,38044
593,38137
593,38159
593,38110
593,37995
593,38034
593,38111
593,38177
593,38098
593,37991
593,38189
593,38008
593,38048
593,38190
593,37993
593,38170
593,38099
593,38112
593,38523
593,38113
593,38114
593,38039
593,38191
593,38081
593,37998
593,38009
593,38178
593,38217
593,38138
593,38115
593,38192
593,38052
593,38012
593,38116
593,38066
593,38038
593,38193
593,38053
593,38117
593,37999
593,38139
593,38045
593,38160
593,38179
593,38067
593,38118
593,37996
593,38016
593,38171
593,38062
593,38140
593,38119
593,38180
593,38161
593,38120
593,38141
593,38194
593,38054
593,38172
593,38195
593,38535
593,38000
593,38063
593,38021
593,38142
593,38196
593,38035
593,38121
593,38032
593,38031
593,38197
593,38015
593,38049
593,38198
593,38162
593,38001
593,38068
593,38218
593,38013
593,38199
593,38143
593,38017
593,38122
593,38144
593,38214
593,38071
593,38163
593,38083
593,38043
593,38002
593,38181
593,38145
593,38200
593,38100
593,38101
593,38075
593,38539
593,38028
593,38096
593,38201
593,38164
593,38221
593,38146
593,38123
593,38018
593,38069
593,38102
593,38202
593,38147
593,38061
593,38103
593,38036
593,38029
593,38124
593,38182
593,38165
593,38538
593,38203
593,38148
593,38222
593,38019
593,38125
593,38080
593,38003
593,38204
593,38149
593,38166
593,38055
593,38173
593,38027
593,38205
593,38167
593,38004
593,38074
593,38215
593,38206
593,38014
593,38126
593,38056
593,38150
593,38219
593,38011
593,38151
593,38040
593,38207
593,38168
593,38183
593,38152
593,38057
593,38025
593,38072
593,38127
593,38220
593,38005
593,38208
593,38184
593,38030
593,38128
593,38153
593,38085
593,38129
593,38010
593,38041
593,38037
593,38073
593,38185
593,38130
593,38209
593,38169
593,38154
593,38210
593,38058
593,38022
593,38186
593,38131
593,38211
593,38059
593,38046
593,38076
593,38212
593,38155
593,38024
593,38132
593,38077
593,38104
593,38042
593,38078
593,38187
593,38133
593,38134
593,38060
593,38023
593,38020
419,34664
419,34665
419,31635
419,31636
419,31726
419,31727
419,31570
419,31571
419,31572
419,31573
419,31624
419,31625
419,31604
419,31605
419,31606
419,31607
419,34657
419,34658
419,31626
419,31721
419,31590
419,31591
419,34592
419,34591
419,31627
419,31628
419,31580
419,31581
419,31582
419,31583
419,31629
419,31630
419,31633
419,31634
419,34589
419,34590
419,31631
419,31632
419,31620
419,31621
419,34595
419,31593
419,31622
419,31623
419,31639
419,31640
420,31645
420,31646
420,31647
420,31648
420,31649
420,31650
420,31661
420,31662
420,31663
420,31664
420,31667
420,31668
420,31673
420,31674
420,34564
420,34563
420,31675
420,31676
420,31679
420,31680
420,34666
420,34667
420,31683
420,31684
420,31687
420,31688
420,31689
420,31690
420,31691
420,31692
420,31693
420,31694
420,31697
420,31698
420,31699
420,31700
420,31701
420,31702
420,31711
420,31712
420,34562
420,34561
420,31715
420,31716
420,31717
420,31718
420,31730
420,31731
420,34593
420,34594
385,30086
385,30087
385,30096
385,30097
385,29951
385,29952
385,30020
385,30021
385,29929
385,29930
385,30042
385,30043
385,30044
385,30045
385,30007
385,30006
385,30009
385,30008
385,29947
385,29948
385,30022
385,30023
385,30094
385,30095
385,29937
385,29938
385,29939
385,29940
385,30079
385,30078
385,29949
385,29950
385,30098
385,30099
385,29941
385,29942
385,30010
385,30011
385,30046
385,30047
385,30017
385,30016
385,30019
385,30018
385,30295
385,30294
385,29931
385,29932
385,29933
385,29934
385,30089
385,30088
385,30003
385,30002
385,29935
385,29936
385,30024
385,30025
385,29953
385,29954
385,30012
385,30013
385,30026
385,30027
385,30015
385,30014
385,30297
385,30296
385,30028
385,30029
385,29943
385,29944
385,30048
385,30049
385,30005
385,30004
385,29945
385,29946
385,30050
385,30051
385,30030
385,30031
387,30036
387,30037
387,30057
387,30056
387,30039
387,30038
387,30090
387,30091
387,30321
387,30323
387,31556
387,31557
387,30154
387,30153
387,30059
387,30058
387,30156
387,30155
387,29970
387,29971
387,30065
387,30064
387,29985
387,29984
387,29987
387,29986
387,29989
387,29988
387,29991
387,29990
387,29978
387,29979
387,30158
387,30157
387,31558
387,31559
387,29956
387,29957
387,30092
387,30093
387,30054
387,30055
387,29972
387,29973
387,30273
387,30272
387,29958
387,29959
387,29992
387,29993
387,29995
387,29994
387,30041
387,30040
387,30067
387,30066
387,29960
387,29961
387,31560
387,31561
387,29996
387,29997
387,30307
387,30306
387,29962
387,29963
387,30061
387,30060
387,30034
387,30035
387,29968
387,29969
387,30063
387,30062
387,31562
387,31563
387,30001
387,30000
387,29964
387,29965
387,30073
387,30072
387,29976
387,29977
387,30075
387,30074
387,29974
387,29975
387,30161
387,30162
439,37984
439,37082
439,37081
439,37073
439,37988
439,37106
439,33046
439,33016
439,32920
439,37087
439,32843
439,37079
439,37986
439,37987
439,37985
439,32911
502,35612
502,35613
502,35614
502,35615
481,37177
481,37214
481,35015
588,37912
588,37913
588,37914
588,37915
588,37916
588,37917
588,37918
588,37919
588,37920
588,37877
588,37878
588,37879
588,37880
588,37881
588,37882
588,37889
588,37890
588,37891
588,37871
588,37872
588,37873
588,37874
588,37875
588,37876
588,37895
588,37896
588,37897
514,35731
514,35732
514,35711
514,35712
514,35713
514,35714
514,35715
514,35716
514,35717
514,35718
514,35719
514,35720
513,35729
513,35730
513,35697
513,35698
513,35699
513,35700
513,35701
513,35702
513,35703
513,35704
513,35705
513,35706
513,35707
513,35708
513,35709
513,35710
503,35616
503,35617
503,35618
503,35619
546,37564
546,37566
546,37647
546,37654
546,37655
546,37664
546,37665
546,37666
546,37667
546,37645
546,37646
546,37668
546,37669
546,37648
546,37649
546,37650
546,37670
546,37671
546,37651
546,37685
546,37652
546,37653
546,37684
546,37687
546,37683
546,37672
546,37673
546,37686
546,37682
546,37656
546,37657
546,37674
546,37658
546,37659
546,37675
546,37676
546,37660
546,37661
546,37662
546,37663
546,37677
546,37690
546,37678
546,37691
546,37679
546,37680
546,37689
546,37681
546,37688
546,37563
546,37565
546,37599
546,37606
546,37607
546,37616
546,37617
546,37618
546,37619
546,37597
546,37598
546,37620
546,37621
546,37600
546,37601
546,37602
546,37622
546,37623
546,37603
546,37637
546,37604
546,37605
546,37636
546,37639
546,37635
546,37624
546,37625
546,37638
546,37634
546,37608
546,37609
546,37626
546,37610
546,37611
546,37627
546,37628
546,37612
546,37613
