id,name,leaf,type,typeName,initial,hot,sort,code,englishName,unit,description,imgUrl,server_categoryList,server_children,server_code,server_description,server_englishName,server_hot,server_id,server_imgUrl,server_initial,server_leaf,server_name,server_parentId,server_sort,server_type,server_typeName,server_unit
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,1.0,,A,True,Aegwynn US - Alliance,10.0,2038593555605360651,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,2.0,,A,True,Aegwynn US - Horde,10.0,2038593555605360652,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,3.0,,A,True,Aerie Peak US - Alliance,10.0,2038593555605360653,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,4.0,,A,True,Aerie Peak US - Horde,10.0,2038593555605360654,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,5.0,,A,True,Agamaggan US - Alliance,10.0,2038593555605360655,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,6.0,,A,True,Agamaggan US - Horde,10.0,2038593555605360656,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,7.0,,A,True,Aggramar US - Alliance,10.0,2038593555605360657,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,8.0,,A,True,Aggramar US - Horde,10.0,2038593555605360658,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,,,,,False,9.0,,A,True,Akama US - Alliance,10.0,2038593555605360659,server,服务器,
10,魔兽世界(美服),False,game,游戏,M,True,2038593493634519040,WOWUS,World of Warcraft US,G,fsdfdsfsd,https://raw.githubusercontent.com/jianghao199595/bijiaqi_img/master/魔兽世界美服.png,,"[{'id': 100028, 'parentId': 10, 'name': '全服通用', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'Q', 'hot': True, 'sort': '2038593555605360650', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 1, 'parentId': 10, 'name': 'Aegwynn US - Alliance', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360651', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 2, 'parentId': 10, 'name': 'Aegwynn US - Horde', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360652', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 3, 'parentId': 10, 'name': 'Aerie Peak US - Alliance', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360653', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 4, 'parentId': 10, 'name': 'Aerie Peak US - Horde', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360654', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 5, 'parentId': 10, 'name': 'Agamaggan US - Alliance', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360655', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 6, 'parentId': 10, 'name': 'Agamaggan US - Horde', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360656', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 7, 'parentId': 10, 'name': 'Aggramar US - Alliance', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360657', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 8, 'parentId': 10, 'name': 'Aggramar US - Horde', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360658', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}, {'id': 9, 'parentId': 10, 'name': 'Akama US - Alliance', 'leaf': True, 'type': 'server', 'typeName': '服务器', 'initial': 'A', 'hot': False, 'sort': '2038593555605360659', 'code': None, 'englishName': None, 'unit': None, 'description': None, 'imgUrl': None, 'categoryList': None}]",,,,False,10.0,,A,False,Akama US - Horde,10.0,2038593555605360660,server,服务器,
